"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"p6800",1,1328.90674164464,1328.90674164464,733.02220754932,4.98364670966907e-160
"p6850",1,53.9912811101092,53.9912811101092,29.7814788859964,4.86370173337926e-08
"rama2d_r4",87,5422.05010417176,62.32241499048,34.3769150870503,0
"Residuals",41222,74731.9701093635,1.81291470839269,NA,NA
