"","Estimate","Std. Error","t value","Pr(>|t|)"
"rama2d_r482",0.243170264452064,0.780943350260049,0.311380158843904,0.755513210270203
"rama2d_r484",0.650558679439176,0.778237445309507,0.835938547239201,0.403194320757315
"rama2d_r485",0.591232113475334,0.77809333561283,0.759847291340281,0.447350216427024
"rama2d_r486",0.356757433247759,0.778093473933584,0.458502024755719,0.646594225343988
"rama2d_r487",-0.12542601982237,0.798678105879618,-0.157042015924843,0.875212504096687
"rama2d_r488",0.029719944438179,0.780776074669974,0.0380646198088758,0.969636344482734
"rama2d_r490",-0.408105318630964,0.792597907434508,-0.514895781080125,0.606628609950813
"rama2d_r491",0.438908789273427,0.843178965455372,0.520540486961019,0.602689712473709
"rama2d_r492",-0.256947051705172,0.783013148405466,-0.328151643721975,0.742798674551024
"rama2d_r493",0.197646946028702,0.784083529433576,0.252073839851582,0.800985246664933
"rama2d_r494",0.330359490086266,0.781056871615142,0.422964706018293,0.672323218209106
"rama2d_r495",-0.40642170547153,0.779689356176499,-0.521261066669645,0.602187719084105
"rama2d_r496",-0.278881120701415,0.778539143564194,-0.358210788766102,0.720187408206885
"rama2d_r497",-0.205753837887815,0.778173064895087,-0.264406270494025,0.791468202123347
"rama2d_r499",0.728767617481314,0.983315309598473,0.741133195392736,0.458616905843294
